NPV_a,NPV_b,PreyDeficit,PredatorDeficit
68.8,100.0,41.4,4.2
0.0,100.0,60.8,13.200000000000001
0.6,100.0,58.4,11.799999999999999
19.0,0.0,51.4,37.0
76.2,17.8,32.0,3.0
25.2,0.0,50.0,30.0
0.0,30.599999999999998,62.0,48.199999999999996
0.0,60.6,62.8,24.0
12.8,0.0,52.2,39.0
59.0,22.8,44.800000000000004,8.6
3.4000000000000004,6.2,53.2,28.199999999999996
65.4,16.400000000000002,41.6,7.000000000000001
35.6,100.0,51.2,4.8
0.0,34.2,60.4,46.800000000000004
60.199999999999996,0.0,43.0,11.0
0.0,0.0,56.8,40.8
36.6,0.0,48.4,20.200000000000003
0.0,0.0,60.8,50.2
72.0,100.0,38.0,1.2
19.6,1.2,50.6,24.6
31.0,0.0,49.8,26.0
83.8,100.0,24.6,0.4
0.0,2.8000000000000003,59.199999999999996,43.2
53.400000000000006,54.0,43.2,10.4
