NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
7.199999999999999,100.0,55.2,8.4,1.7999999999999998,8.4,7.199999999999999,0.0
0.0,58.199999999999996,59.8,23.599999999999998,0.0,23.599999999999998,0.0,0.0
0.0,19.6,61.6,49.4,0.0,19.6,0.0,0.0
0.0,3.4000000000000004,61.8,52.2,0.0,3.4000000000000004,0.0,0.0
32.4,0.0,50.0,29.799999999999997,25.4,0.0,0.0,0.0
88.6,30.2,30.0,1.7999999999999998,29.4,1.2,23.599999999999998,0.0
0.8,0.0,56.2,43.4,0.8,0.0,0.0,0.0
15.8,59.4,52.2,13.4,9.0,13.4,10.4,0.0
60.4,0.0,43.4,10.4,32.0,0.0,0.0,0.0
9.8,8.200000000000001,51.800000000000004,25.4,8.0,5.800000000000001,0.2,0.0
39.800000000000004,0.0,48.4,24.6,28.4,0.0,0.0,0.0
41.0,10.2,48.4,14.2,28.000000000000004,2.1999999999999997,1.0,0.0
24.4,0.0,50.8,32.2,21.4,0.0,0.0,0.0
0.0,0.0,59.8,51.2,0.0,0.0,0.0,0.0
84.39999999999999,100.0,21.2,1.0,21.2,1.0,84.39999999999999,0.0
0.0,54.400000000000006,63.4,38.800000000000004,0.0,38.800000000000004,0.0,0.0
19.6,0.0,51.4,35.4,18.0,0.0,0.0,0.0
14.2,0.0,51.6,38.2,13.200000000000001,0.0,0.0,0.0
27.0,100.0,49.4,8.799999999999999,12.6,8.799999999999999,27.0,0.0
43.0,95.39999999999999,48.4,9.2,25.0,9.2,39.800000000000004,0.0
0.0,100.0,60.199999999999996,13.0,0.0,13.0,0.0,0.0
0.0,52.0,62.2,42.0,0.0,41.0,0.0,0.0
10.6,0.0,54.0,40.8,10.4,0.0,0.0,0.0
0.0,0.0,59.4,45.6,0.0,0.0,0.0,0.0
0.0,52.6,60.4,36.8,0.0,36.8,0.0,0.0
0.0,46.800000000000004,60.4,41.8,0.0,38.800000000000004,0.0,0.0
33.800000000000004,67.80000000000001,46.800000000000004,6.2,14.000000000000002,6.2,29.599999999999998,0.0
19.6,0.0,51.4,37.0,18.2,0.0,0.0,0.0
